iter	Passed	Remaining
112	274407	939783
113	276780	937168
114	279129	934478
115	281494	931844
116	283890	929318
117	286266	926727
118	288631	924105
119	291026	921585
120	293362	918879
121	295714	916229
122	298103	913698
123	300451	911047
124	302803	908409
125	305254	906073
126	307622	903490
127	310007	900958
128	312468	898649
129	314832	896062
130	317187	893451
131	319511	890758
132	321936	888352
133	324324	885840
134	326713	883336
135	329079	880770
136	331419	878139
137	333748	875485
138	336079	872840
139	338416	870213
140	340795	867699
141	343145	865114
142	345563	862701
143	347945	860198
144	350276	857572
145	352702	855182
146	355102	852728
147	357454	850162
148	359868	847744
149	362234	845214
150	364633	842761
151	367065	840386
152	369421	837838
153	371818	835384
154	374228	832959
155	376696	830665
156	379095	828214
157	381519	825820
158	383899	823332
159	386239	820758
160	388680	818402
161	391053	815901
162	393449	813450
163	395977	811271
164	398406	808885
165	400759	806347
166	403120	803826
167	405517	801379
168	407868	798843
169	410211	796293
170	412551	793738
171	414930	791263
172	417313	788794
173	419725	786383
174	422097	783895
175	424442	781360
176	426785	778823
177	429186	776394
178	431594	773977
179	433995	771546
180	436403	769131
181	438785	766669
182	441169	764212
183	443598	761832
184	445982	759375
185	448342	756878
186	450794	754538
187	453139	752018
188	455459	749459
189	457792	746924
190	460129	744397
191	462483	741900
192	464819	739376
193	467155	736853
194	469511	734364
195	471902	731930
196	474295	729500
197	476595	726927
198	478961	724459
199	481310	721966
200	483634	719436
201	485984	716947
202	488341	714470
203	490701	711997
204	493054	709517
205	495361	706971
206	497686	704455
207	500013	701941
208	502299	699373
209	504653	696901
210	507041	694478
211	509432	692059
212	511781	689583
213	514197	687199
214	516544	684721
215	518846	682186
216	521181	679696
217	523546	677248
218	525901	674786
219	528247	672314
220	530582	669830
221	532855	667269
222	535158	664748
223	537497	662273
224	539846	659812
225	542146	657293
226	544439	654766
227	546786	652306
228	549196	649922
229	551484	647395
230	553847	644956
231	556194	642500
232	558749	640283
233	561268	638023
234	563788	635760
235	566209	633386
236	568663	631048
237	571022	628604
238	573362	626140
239	575734	623712
240	578208	621394
241	580601	618987
242	582933	616517
243	585287	614071
244	587668	611655
245	590022	609209
246	592305	606693
247	594600	604191
248	596923	601718
249	599233	599233
250	601612	596819
251	603986	594399
252	606288	591909
253	608570	589402
254	610867	586911
255	613163	584421
256	615485	581957
257	617780	579468
258	620118	577021
259	622584	574693
260	624919	572243
261	627180	569729
262	629472	567242
263	631746	564742
264	634035	562257
265	636365	559810
266	638677	557347
267	641008	554903
268	643331	552452
269	645665	550011
270	647954	547533
271	650280	545087
272	652620	542655
273	654956	540219
274	657285	537778
275	659617	535341
276	661980	532929
277	664365	530536
278	666778	528165
279	669215	525812
280	671678	523479
281	674067	521087
282	676476	518711
283	678867	516321
284	681308	513969
285	683683	511567
286	686000	509122
287	688334	506690
288	690680	504268
289	693013	501837
290	695411	499453
291	697726	497010
292	700012	494548
293	702292	492082
294	704635	489661
295	706943	487217
296	709300	484808
297	711635	482383
298	713921	479927
299	716330	477553
300	718654	475123
301	721007	472713
302	723399	470329
303	725746	467915
304	728081	465494
305	730388	463056
306	732669	460603
307	734995	458178
308	737272	455725
309	739603	453305
310	741920	450877
311	744217	448438
312	746537	446014
313	748869	443598
314	751235	441201
315	753500	438746
316	755825	436328
317	758137	433902
318	760474	431492
319	762789	429069
320	765073	426629
321	767623	424338
322	770477	422211
323	773030	419917
324	775641	417653
325	778115	415313
326	780673	413016
327	783255	410731
328	785769	408408
329	788182	406033
330	790580	403649
331	793012	401283
332	795420	398904
333	797743	396483
334	800159	394108
335	802568	391730
336	804990	389357
337	807376	386967
338	809741	384567
339	812071	382151
340	814458	379762
341	817041	377463
342	819583	375144
343	822023	372777
344	824441	370401
345	826841	368016
346	829251	365635
347	831605	363230
348	833964	360827
349	836302	358415
350	838658	356011
351	841068	353631
352	843411	351222
353	845787	348827
354	848185	346442
355	850531	344035
356	852883	341631
357	855262	339238
358	857631	336841
359	860108	334486
360	862729	332186
361	865220	329835
362	867655	327462
363	870273	325157
364	873051	322909
365	875612	320579
366	878109	318225
367	880543	315847
368	882888	313437
369	885226	311025
370	887629	308636
371	889939	306215
372	892306	303814
373	894685	301418
374	897039	299013
375	899421	296617
376	901784	294216
377	904155	291817
378	906511	289414
379	908887	287017
380	911228	284609
381	913627	282220
382	916018	279828
383	918342	277415
384	920763	275033
385	923106	272627
386	925440	270219
