iter	Passed	Remaining
642	7884	4377
643	7896	4365
644	7909	4353
645	7922	4341
646	7934	4328
647	7945	4316
648	7957	4303
649	7968	4290
650	7979	4278
651	7991	4265
652	8003	4252
653	8015	4240
654	8027	4228
655	8038	4215
656	8050	4202
657	8061	4190
658	8073	4177
659	8084	4164
660	8096	4152
661	8107	4139
662	8119	4127
663	8131	4114
664	8142	4101
665	8154	4089
666	8165	4076
667	8177	4064
668	8188	4051
669	8200	4038
670	8211	4026
671	8223	4013
672	8234	4001
673	8246	3988
674	8257	3976
675	8269	3963
676	8280	3950
677	8292	3938
678	8304	3925
679	8315	3913
680	8327	3901
681	8339	3888
682	8350	3875
683	8363	3863
684	8375	3851
685	8386	3838
686	8398	3826
687	8410	3814
688	8424	3802
689	8436	3790
690	8447	3777
691	8458	3764
692	8469	3752
693	8481	3739
694	8493	3727
695	8504	3714
696	8515	3701
697	8527	3689
698	8538	3676
699	8549	3664
700	8561	3651
701	8572	3638
702	8584	3626
703	8595	3614
704	8607	3601
705	8618	3588
706	8629	3576
707	8641	3564
708	8652	3551
709	8663	3538
710	8674	3526
711	8686	3513
712	8698	3501
713	8710	3488
714	8721	3476
715	8735	3464
716	8747	3452
717	8760	3440
718	8771	3428
719	8784	3416
720	8797	3404
721	8810	3392
722	8822	3380
723	8835	3368
724	8847	3356
725	8859	3343
726	8872	3331
727	8884	3319
728	8896	3307
729	8909	3295
730	8921	3282
731	8933	3270
732	8945	3258
733	8957	3246
734	8968	3233
735	8981	3221
736	8992	3208
737	9003	3196
738	9015	3184
739	9027	3171
740	9038	3159
741	9050	3147
742	9063	3134
743	9074	3122
744	9085	3109
745	9097	3097
746	9109	3085
747	9120	3072
748	9132	3060
749	9144	3048
750	9156	3035
751	9168	3023
752	9179	3011
753	9191	2998
754	9203	2986
755	9215	2974
756	9226	2961
757	9238	2949
758	9249	2937
759	9262	2924
760	9273	2912
761	9284	2899
762	9297	2887
763	9310	2875
764	9322	2863
765	9337	2852
766	9348	2839
767	9360	2827
768	9372	2815
769	9384	2803
770	9395	2790
771	9407	2778
772	9418	2765
773	9429	2753
774	9442	2741
775	9453	2728
776	9465	2716
777	9477	2704
778	9489	2692
779	9501	2679
780	9512	2667
781	9524	2655
782	9536	2642
783	9547	2630
784	9559	2618
785	9572	2606
786	9583	2593
787	9594	2581
788	9606	2569
789	9618	2556
790	9630	2544
791	9641	2532
792	9654	2520
793	9665	2507
794	9677	2495
795	9689	2483
796	9700	2470
797	9712	2458
798	9723	2446
799	9735	2433
800	9747	2421
801	9758	2409
802	9770	2397
803	9782	2384
804	9793	2372
805	9805	2360
806	9818	2348
807	9829	2335
808	9842	2323
809	9855	2311
810	9867	2299
811	9881	2287
812	9895	2276
813	9908	2264
814	9921	2252
815	9933	2239
816	9944	2227
817	9956	2215
818	9980	2205
819	9992	2193
820	10005	2181
821	10018	2169
822	10029	2157
823	10042	2144
824	10054	2132
825	10065	2120
826	10077	2108
827	10089	2095
828	10101	2083
829	10113	2071
830	10124	2059
831	10136	2046
832	10148	2034
833	10160	2022
834	10171	2009
835	10184	1997
836	10196	1985
837	10207	1973
838	10219	1961
839	10231	1948
840	10243	1936
841	10255	1924
842	10267	1912
843	10280	1900
844	10292	1887
845	10304	1875
846	10316	1863
847	10328	1851
848	10339	1838
849	10351	1826
850	10362	1814
851	10375	1802
852	10387	1790
853	10398	1777
854	10411	1765
855	10423	1753
856	10435	1741
857	10447	1729
858	10460	1716
859	10473	1704
860	10486	1693
861	10503	1681
862	10515	1669
863	10528	1657
864	10541	1645
865	10553	1632
866	10565	1620
867	10576	1608
868	10589	1596
869	10601	1584
870	10613	1571
871	10625	1559
